CC_NUM,USED,KNOB,CC_NAME,VAL_NAME,SECTION,TYPE,CC_MIN,CC_MAX,CC_STEP,VAL_MIN,VAL_MAX,VAL_STEP,VAL_DEFAULT,NAMES
1,0,SLIDER,MOD WHEEL,MOD WHEEL,GENERAL,-,0,127,1,0,127,1,0,-
2,0,KNOB,CC2,CC2,GENERAL,-,0,127,1,0,127,1,0,-
3,1,KNOB,RESONANCE,RESON,FILTER,-,0,127,1,0,100,1,0,-
4,1,KNOB,CUTOFF,CUTOFF,FILTER,-,0,127,1,0,100,1,100,-
5,1,KNOB,WAVESHAPE,WAVE,OSC,-,0,127,1,0,100,1,50,-
6,1,KNOB,OSC2 OFFSET,TUNE 2,OSC,-,0,127,1,0,2,0.02,1,-
7,1,SLIDER,GLIDE,GLIDE,OSC,-,0,127,1,0,100,1,0,-
8,1,SLIDER,VCO LEVEL,LEVEL,OSC,-,0,127,1,0,100,1,100,-
9,1,SLIDER,FILTER TRACKING,VCF TRK,FILTER,-,0,127,1,0,100,1,0,-
11,1,SLIDER,FILTER FM,VCF FFM,FILTER,-,0,127,1,0,100,1,0,-
12,1,SLIDER,FX1 HP CUTOFF,HPF CUT,FILTER,-,0,127,1,0,100,1,0,-
13,1,SLIDER,FX1 HP RESONANCE,HPF RES,FILTER,-,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,GAIN,FX1,HARD CLIP,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,GAIN,FX1,FOLDBACK,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,GAIN,FX1,S-CURVE,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,GAIN,FX1,TRI_CLIP,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,GAIN,FX1,SHRED,0,127,1,0,100,1,0,-
14,1,SLIDER,FX1 PARAMETER 1,RATE,FX1,BIT CRUSH,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,LVL,FX1,HARD CLIP,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,LVL,FX1,FOLDBACK,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,LVL,FX1,S-CURVE,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,LVL,FX1,TRI_CLIP,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,LVL,FX1,SHRED,0,127,1,0,100,1,0,-
15,1,SLIDER,FX1 PARAMETER 2,BIT,FX1,BIT CRUSH,0,127,1,0,100,1,0,-
16,1,SLIDER,FX1 MIX,MIX,FX1,-,0,127,1,0,100,1,0,-
17,1,SLIDER,FX2 PARAMETER 1,DEPTH,FX2,CHORUS,0,127,1,0,100,1,0,-
17,1,SLIDER,FX2 PARAMETER 1,DEPTH,FX2,ENSEMBLE,0,127,1,0,100,1,0,-
17,1,SLIDER,FX2 PARAMETER 1,DEPTH,FX2,FLANGER,0,127,1,0,100,1,0,-
17,1,SLIDER,FX2 PARAMETER 1,-,FX2,PHASER,0,127,1,0,0,0,0,-
17,1,SLIDER,FX2 PARAMETER 1,L,FX2,SHIFTER,0,127,1,-24,24,1,0,-
18,1,SLIDER,FX2 PARAMETER 2,SPD,FX2,CHORUS,0,127,1,0,100,1,0,-
18,1,SLIDER,FX2 PARAMETER 2,SPD,FX2,ENSEMBLE,0,127,1,0,100,1,0,-
